article	number of edits
(18203776,)	46
(18211817,)	42
(18214864,)	2
(18221625,)	57
(18197691,)	73
(18205476,)	6
(18196172,)	3
(18218969,)	1
(18197121,)	2
(18212791,)	1
(18211742,)	17
(18207583,)	1
(18205162,)	29
(18210630,)	13
(18222599,)	22
(18203643,)	40
(18209267,)	2
(18218894,)	1
(18197302,)	3
(18206120,)	7
(18219717,)	4
(18210795,)	4
(18222764,)	1
(18223343,)	8
(18204798,)	7
(18207178,)	1
(18219147,)	1
(18224871,)	14
(18209176,)	1
(18223822,)	17
(18198516,)	3
(18204047,)	25
(18205277,)	20
(18211048,)	21
(18220675,)	1
(18221880,)	3
(18197946,)	47
(18211543,)	2
(18204707,)	4
(18220361,)	1
(18210431,)	2
(18209382,)	2
(18206235,)	7
(18220840,)	1
(18206814,)	41
(18214020,)	1
(18209861,)	3
(18222854,)	2
(18203667,)	1
(18200532,)	1
(18211708,)	2
(18207293,)	2
(18204872,)	10
(18213706,)	2
(18217332,)	2
(18199962,)	1
(18205367,)	5
(18206723,)	2
(18196063,)	12
(18210026,)	19
(18215557,)	45
(18213136,)	42
(18218860,)	2
(18197012,)	1
(18205846,)	8
(18207458,)	20
(18214664,)	28
(18210505,)	2
(18214366,)	49
(18208902,)	6
(18217976,)	23
(18223507,)	12
(18197177,)	1
(18198549,)	2
(18203443,)	11
(18212277,)	21
(18205441,)	13
(18201282,)	1
(18207069,)	4
(18215903,)	3
(18222085,)	41
(18223697,)	12
(18221292,)	2
(18203922,)	1
(18199763,)	2
(18206176,)	22
(18220566,)	2
(18201761,)	1
(18212937,)	133
(18200242,)	1
(18205622,)	2
(18214465,)	1
(18219203,)	12
(18223622,)	16
(18204103,)	1
(18206101,)	7
(18201942,)	14
(18209727,)	3
(18212376,)	1
(18205812,)	2
(18204763,)	6
(18213597,)	1
(18196227,)	1
(18210206,)	1
(18221382,)	27
(18199853,)	41
(18205242,)	7
(18214076,)	2
(18203723,)	77
(18214555,)	156
(18201537,)	1
(18215134,)	1
(18222340,)	1
(18198969,)	23
(18207828,)	3
(18206779,)	5
(18216662,)	1
(18214241,)	2
(18220028,)	1
(18213192,)	3
(18212722,)	1
(18205902,)	7
(18204853,)	5
(18200694,)	1
(18224926,)	2
(18223877,)	3
(18205332,)	5
(18211119,)	3
(18206944,)	2
(18216827,)	15
(18219937,)	1
(18208958,)	66
(18218825,)	1
(18223563,)	27
(18199654,)	1
(18197233,)	10
(18206067,)	2
(18207439,)	3
(18205018,)	1
(18213852,)	3
(18197712,)	3
(18206869,)	22
(18219094,)	1
(18210172,)	2
(18224521,)	3
(18197158,)	24
(18212812,)	1
(18220622,)	7
(18213761,)	1
(18199249,)	1
(18208083,)	2
(18207034,)	1
(18215868,)	1
(18205108,)	7
(18210560,)	2
(18212918,)	6
(18215298,)	4
(18197802,)	8
(18196753,)	3
(18206636,)	3
(18205587,)	8
(18207215,)	1
(18216058,)	56
(18218056,)	1
(18217023,)	2
(18199909,)	16
(18207694,)	3011
(18214132,)	1
(18222966,)	6
(18204728,)	5
(18215983,)	9
(18213562,)	1
(18196448,)	14
(18214934,)	1
(18198462,)	1
(18199818,)	10
(18212043,)	1
(18206835,)	52
(18208833,)	6
(18203688,)	1
(18200553,)	1
(18197892,)	10
(18212522,)	19
(18208363,)	1
(18205702,)	8
(18204909,)	6
(18210361,)	1
(18196373,)	6
(18207793,)	3
(18205388,)	10
(18196084,)	23
(18200478,)	1
(18205867,)	5
(18207239,)	1
(18214701,)	1
(18196735,)	2
(18211084,)	1
(18220967,)	29
(18198263,)	1
(18203778,)	3
(18199619,)	14
(18197214,)	31
(18212612,)	1
(18207404,)	11
(18195695,)	4
(18197693,)	12
(18196644,)	412
(18206527,)	3
(18212298,)	18
(18205478,)	7
(18211249,)	17
(18201319,)	13
(18207090,)	1
(18196174,)	1
(18210137,)	37
(18213263,)	16
(18197123,)	106
(18219538,)	1
(18224213,)	35
(18218401,)	8
(18203645,)	4
(18208048,)	1314
(18216882,)	2
(18222287,)	2
(18199709,)	33
(18205073,)	1
(18223329,)	3
(18200444,)	1
(18197783,)	1
(18196990,)	1
(18206601,)	34
(18207180,)	1
(18213618,)	4
(18224857,)	1
(18211843,)	26
(18205279,)	6
(18211050,)	1
(18195950,)	2
(18203744,)	41
(18200353,)	60
(18196899,)	123
(18211529,)	1
(18209368,)	12
(18218202,)	1
(18221312,)	1
(18198427,)	37
(18206237,)	5
(18209863,)	1
(18213229,)	1
(18195859,)	27
(18208814,)	13
(18200534,)	2
(18205923,)	7
(18207295,)	84
(18224947,)	1
(18207774,)	66
(18206725,)	2
(18214187,)	1
(18196049,)	1
(18213138,)	1
(18223021,)	1
(18208979,)	12
(18223584,)	1
(18199675,)	2
(18207460,)	3
(18218292,)	4
(18197749,)	8
(18203264,)	529
(18217243,)	2
(18204015,)	1
(18217978,)	26
(18198551,)	157
(18220643,)	28
(18210672,)	5
(18209639,)	45
(18215410,)	1
(18218457,)	1
(18200079,)	2
(18196609,)	230
(18202333,)	17
(18205443,)	1
(18207071,)	1
(18224748,)	12
(18222087,)	1
(18206178,)	5
(18210941,)	6
(18207550,)	156
(18205129,)	7
(18213988,)	7
(18224178,)	1
(18204659,)	28
(18199195,)	15
(18196790,)	44
(18205608,)	8
(18214467,)	31
(18206980,)	1
(18219205,)	12
(18215814,)	1
(18224657,)	3
(18217044,)	46
(18211899,)	17
(18207715,)	3
(18199360,)	4
(18196955,)	3
(18208194,)	24
(18204765,)	2
(18220163,)	58
(18201374,)	260
(18207145,)	1
(18205244,)	2
(18207624,)	3
(18201060,)	1
(18209919,)	2
(18222896,)	3
(18223475,)	2
(18202676,)	3
(18204674,)	4
(18210398,)	2
(18213508,)	3
(18215120,)	270
(18197624,)	16
(18198971,)	1
(18206781,)	1
(18220030,)	1
(18223077,)	14
(18208779,)	164
(18199450,)	10
(18220509,)	126
(18222507,)	6
(18223879,)	2
(18206383,)	22
(18207995,)	4
(18208944,)	1
(18203815,)	120
(18206069,)	8
(18207425,)	4
(18222697,)	16
(18205499,)	8
(18220129,)	1
(18216738,)	4
(18215689,)	3
(18213284,)	5
(18224523,)	3
(18221094,)	2
(18198193,)	1
(18219575,)	1
(18223185,)	18
(18197639,)	1
(18206713,)	2
(18208085,)	1
(18207036,)	1
(18213474,)	3
(18209034,)	25
(18223664,)	2
(18199730,)	25
(18220789,)	1
(18205110,)	18
(18204624,)	173
(18212434,)	1
(18208250,)	29
(18207201,)	2
(18216060,)	4
(18198283,)	1
(18205300,)	7
(18197969,)	10
(18196920,)	218
(18214613,)	3
(18201595,)	1
(18209405,)	10
(18218239,)	1
(18198448,)	84
(18205209,)	12
(18214043,)	22
(18209884,)	2
(18195880,)	11
(18200555,)	2
(18205944,)	1
(18211475,)	35
(18219516,)	5
(18205390,)	6
(18206746,)	1
(18209793,)	3
(18213175,)	3
(18223042,)	1
(18209000,)	4
(18221993,)	2
(18198084,)	7
(18203871,)	29
(18197035,)	1
(18208274,)	10
(18204820,)	8
(18214703,)	1
(18210528,)	1
(18213654,)	12
(18197514,)	50
(18205555,)	5
(18220953,)	1
(18223530,)	31
(18202987,)	1
(18211821,)	13
(18201619,)	54
(18210453,)	2
(18216224,)	44
(18222678,)	2
(18196646,)	1
(18207885,)	2
(18207092,)	1
(18216719,)	44
(18219061,)	1
(18213249,)	1
(18209090,)	3
(18218973,)	6
(18212779,)	31
(18211730,)	66
(18205166,)	1
(18210618,)	56
(18200265,)	1
(18208050,)	44
(18205645,)	5
(18220275,)	7
(18207001,)	1
(18196341,)	1
(18209271,)	83
(18223645,)	10
(18204126,)	151
(18211920,)	2
(18206124,)	8
(18220754,)	17
(18205075,)	8
(18222752,)	9
(18221719,)	21
(18197769,)	13
(18212415,)	1
(18207182,)	1
(18209180,)	33
(18204035,)	9
(18207661,)	2
(18214099,)	2
(18219886,)	67
(18213050,)	1
(18208891,)	9
(18212580,)	21
(18205744,)	10
(18211531,)	2
(18201560,)	28
(18210419,)	5
(18209370,)	14
(18200041,)	15
(18216685,)	1
(18209849,)	2
(18215636,)	33
(18213231,)	18
(18223098,)	1
(18224470,)	4
(18222049,)	1
(18200520,)	1
(18205925,)	10
(18211696,)	2
(18207281,)	2
(18204876,)	8
(18220530,)	53
(18216115,)	28
(18224949,)	10
(18221495,)	5
(18205355,)	8
(18211142,)	3
(18219960,)	18
(18208981,)	38
(18203836,)	19
(18197000,)	1
(18211621,)	1
(18207462,)	1
(18205041,)	4
(18216280,)	21
(18213875,)	3
(18224065,)	7
(18212100,)	1
(18205520,)	10
(18211307,)	18
(18201105,)	2
(18206892,)	2
(18196216,)	28
(18204001,)	4
(18197181,)	48
(18207371,)	2
(18210674,)	1
(18200065,)	1
(18199272,)	66
(18212265,)	2
(18208106,)	16
(18196141,)	1
(18224750,)	2
(18207536,)	2
(18213990,)	33
(18219207,)	48
(18208766,)	1
(18210852,)	6
(18213106,)	1
(18212380,)	1
(18201360,)	6
(18207147,)	1
(18213585,)	3
(18210194,)	69
(18214957,)	47
(18223791,)	1
(18205246,)	6
(18207626,)	3
(18214064,)	1
(18209905,)	1
(18217690,)	396
(18212545,)	1
(18214559,)	1
(18196396,)	28
(18207816,)	2
(18205411,)	24
(18209830,)	99
(18202499,)	2
(18204841,)	5
(18200682,)	2
(18210309,)	2
(18205320,)	12
(18211107,)	1
(18222988,)	26
(18217780,)	2
(18197237,)	1
(18202752,)	12
(18206071,)	15
(18205501,)	2
(18206857,)	27
(18196197,)	49
(18222129,)	22
(18218994,)	3
(18197146,)	1
(18205980,)	75
(18204931,)	9
(18209606,)	45
(18199253,)	24
(18206715,)	2
(18208087,)	2
(18205666,)	8
(18207038,)	1
(18217870,)	10
(18199732,)	6
(18211957,)	13
(18208566,)	1
(18220791,)	2
(18195792,)	1
(18197806,)	13
(18203577,)	3
(18199418,)	2
(18196757,)	98
(18205591,)	8
(18214434,)	37
(18223847,)	12
(18208731,)	38
(18205302,)	9
(18213087,)	33
(18222954,)	3
(18224326,)	1
(18196922,)	1
(18208161,)	1
(18214615,)	2
(18224805,)	3
(18203213,)	9
(18209886,)	2
(18208837,)	2
(18203692,)	40
(18223442,)	1
(18200557,)	1
(18204897,)	9
(18214780,)	1
(18224970,)	22
(18197607,)	1
(18207797,)	3
(18211163,)	30
(18196072,)	1
(18209795,)	3
(18223044,)	4
(18221995,)	5
(18200466,)	2
(18212691,)	2
(18207483,)	3
(18204822,)	5
(18200663,)	1
(18210530,)	75
(18209481,)	63
(18224102,)	23
(18197516,)	3
(18217266,)	1
(18205557,)	7
(18219906,)	1
(18209960,)	1
(18198251,)	33
(18223532,)	11
(18199623,)	1
(18198574,)	1
(18206036,)	10
(18211823,)	12
(18207392,)	35
(18210455,)	2
(18216226,)	1
(18200102,)	305
(18196632,)	2
(18212302,)	1
(18205466,)	1
(18207094,)	1
(18210141,)	1
(18213251,)	7
(18222110,)	25
(18202898,)	2
(18208622,)	42
(18214011,)	6
(18219542,)	3
(18200737,)	1
(18216407,)	1
(18212962,)	2
(18209571,)	19
(18203633,)	1
(18208052,)	15
(18205647,)	6
(18207003,)	2
(18216886,)	3
(18210050,)	97
(18224680,)	2
(18198341,)	3
(18203079,)	25
(18205077,)	9
(18210785,)	5
(18215548,)	1
(18195773,)	1
(18197771,)	6
(18199399,)	1
(18216027,)	1
(18213622,)	6
(18196252,)	5
(18223812,)	13
(18205267,)	8
(18220921,)	1
(18210710,)	18
(18213052,)	3
(18208893,)	4
(18223242,)	31
(18200357,)	2
(18211533,)	17
(18219318,)	1
(18196417,)	1
(18203178,)	1
(18200043,)	2
(18205432,)	10
(18220846,)	12
(18209851,)	2
(18215638,)	2
(18213217,)	4
(18223100,)	2
(18208802,)	20
(18200522,)	24
(18202864,)	7
(18212491,)	1
(18205927,)	8
(18211698,)	6
(18204878,)	1
(18201487,)	33
(18210330,)	1
(18216117,)	16
(18199952,)	19
(18207762,)	3
(18205357,)	5
(18211128,)	1
(18221011,)	1
(18214191,)	161
(18219962,)	1
(18196053,)	7
(18215803,)	1
(18213142,)	1
(18223009,)	26
(18205043,)	8
(18200628,)	3
(18209462,)	11
(18215233,)	19
(18203268,)	1
(18211309,)	5
(18220152,)	3
(18196218,)	20
(18209941,)	2
(18206001,)	9
(18211788,)	50
(18207373,)	3
(18204952,)	1
(18214835,)	2
(18213786,)	2
(18223208,)	41
(18206480,)	3
(18211218,)	13
(18207059,)	1
(18213497,)	3
(18210106,)	19
(18215893,)	21
(18222331,)	1
(18198397,)	23
(18200718,)	3
(18215323,)	1
(18208017,)	2
(18207224,)	1
(18206091,)	10
(18210854,)	71
(18200883,)	2
(18210766,)	8
(18222735,)	51
(18200413,)	20
(18196959,)	12
(18211333,)	2
(18204753,)	14
(18207149,)	1
(18199843,)	13
(18220902,)	2
(18207628,)	2
(18209907,)	1
(18208858,)	18
(18205727,)	19
(18211498,)	25
(18204678,)	1
(18220332,)	2
(18218171,)	96
(18211977,)	73
(18207818,)	3
(18205413,)	12
(18206769,)	16
(18213198,)	2
(18224437,)	3
(18200503,)	1
(18197058,)	2
(18205892,)	5
(18211679,)	2
(18204843,)	1
(18200684,)	2
(18213677,)	1
(18215289,)	39
(18224123,)	1
(18197537,)	22
(18202212,)	3
(18205322,)	7
(18196018,)	24
(18209997,)	1
(18213363,)	6
(18222990,)	1
(18203803,)	4
(18223553,)	44
(18197239,)	21
(18206057,)	2
(18205008,)	1
(18220422,)	1
(18213842,)	1
(18221652,)	1
(18200123,)	1
(18197718,)	159
(18196669,)	20
(18212323,)	1
(18211274,)	2
(18219084,)	1
(18210162,)	38
(18213272,)	1
(18197148,)	2
(18205982,)	13
(18211753,)	12
(18207594,)	3
(18204933,)	11
(18218426,)	31
(18223189,)	2
(18197883,)	2
(18208073,)	1
(18214527,)	10
(18196108,)	14
(18215858,)	2
(18206147,)	8
(18216337,)	1
(18195794,)	5
(18217583,)	397
(18200213,)	4
(18203579,)	16
(18205577,)	8
(18220223,)	19
(18216048,)	3
(18213387,)	1
(18204058,)	1
(18217013,)	1
(18203009,)	1
(18208733,)	1
(18210819,)	75
(18207684,)	1
(18214122,)	24
(18213073,)	1
(18224312,)	9
(18223279,)	1
(18202376,)	1
(18201599,)	196
(18207114,)	1
(18213552,)	15
(18204248,)	27
(18218227,)	34
(18205213,)	10
(18210984,)	1
(18208839,)	3
(18205948,)	5
(18207304,)	250
(18204899,)	2
(18210367,)	16
(18209318,)	3
(18206750,)	13
(18214212,)	1
(18197039,)	2
(18202810,)	9
(18207485,)	3
(18203289,)	45
(18202177,)	25
(18207964,)	14
(18216798,)	2
(18215749,)	2
(18199609,)	1
(18211809,)	1
(18220668,)	1
(18204989,)	8
(18200830,)	28
(18213823,)	1
(18221617,)	6
(18203470,)	59
(18217433,)	2
(18199055,)	1
(18205468,)	9
(18214302,)	51
(18210143,)	23
(18213253,)	1
(18212783,)	1
(18198741,)	20
(18211734,)	14
(18207575,)	3
(18205154,)	8
(18210622,)	14
(18195594,)	1
(18218407,)	1
(18217358,)	32
(18205633,)	7
(18215839,)	2
(18224682,)	4
(18198343,)	225
(18199699,)	14
(18197294,)	15
(18211924,)	1
(18206112,)	22
(18201953,)	1
(18205079,)	1
(18203544,)	1
(18196980,)	13
(18214401,)	2
(18207170,)	1
(18213608,)	3
(18196254,)	56
(18209168,)	20
(18216978,)	32
(18212089,)	1
(18211040,)	1
(18220923,)	3
(18201878,)	12
(18207649,)	3
(18214103,)	2
(18219874,)	2
(18222921,)	7
(18200359,)	1
(18209374,)	1
(18204229,)	23
(18198417,)	16
(18206227,)	10
(18212014,)	1
(18205434,)	4
(18209853,)	2
(18223409,)	15
(18200524,)	1
(18199475,)	5
(18208334,)	1
(18205913,)	31
(18207285,)	31
(18204864,)	73
(18214747,)	50
(18209283,)	1
(18224937,)	1
(18196525,)	1
(18206392,)	26
(18219964,)	1
(18224639,)	3
(18197004,)	2
(18211609,)	5
(18207450,)	3
(18205045,)	9
(18213879,)	2
(18196690,)	15
(18211311,)	1
(18214358,)	25
(18209943,)	2
(18218761,)	8
(18204005,)	24
(18223499,)	63
(18199590,)	48
(18211790,)	86
(18209629,)	13
(18208110,)	1
(18201274,)	2
(18215895,)	36
(18206168,)	1
(18207540,)	3
(18212929,)	1
(18209538,)	1
(18204649,)	25
(18197829,)	16
(18203600,)	1
(18202488,)	1
(18208019,)	3
(18207226,)	1
(18219195,)	1
(18215036,)	14
(18209224,)	1
(18206093,)	9
(18207705,)	15
(18213110,)	1
(18218562,)	2
(18224349,)	1
(18221928,)	1
(18223300,)	2
(18203525,)	2
(18199366,)	22
(18204755,)	1
(18207151,)	22
(18215994,)	2
(18196475,)	4
(18199845,)	11
(18206283,)	6
(18208679,)	2
(18214068,)	2
(18209909,)	2
(18222902,)	2
(18199531,)	31
(18196870,)	1
(18207341,)	3
(18196384,)	15
(18224993,)	1
(18222588,)	1
(18221539,)	61
(18196581,)	27
(18205415,)	7
(18209818,)	3
(18224439,)	9
(18222018,)	10
(18214712,)	23
(18209504,)	1
(18224918,)	6
(18224125,)	1
(18205324,)	1
(18211111,)	3
(18219929,)	3
(18201644,)	1
(18205010,)	6
(18218263,)	2
(18207910,)	34
(18205489,)	8
(18214323,)	1
(18196185,)	2
(18210164,)	32
(18212804,)	2
(18198762,)	9
(18207596,)	1
(18212985,)	2
(18209594,)	16
(18224224,)	3
(18202288,)	1
(18208075,)	2
(18205670,)	8
(18207026,)	1
(18209024,)	27
(18205100,)	7
(18208240,)	42
(18205579,)	7
(18207207,)	1
(18220688,)	2
(18214124,)	136
(18218543,)	1
(18224314,)	2
(18197975,)	14
(18211556,)	92
(18204720,)	8
(18214603,)	3
(18207116,)	3
(18223744,)	1
(18197405,)	17
(18205215,)	6
(18206827,)	2
(18219820,)	1
(18209874,)	1
(18222074,)	1
(18203680,)	44
(18202647,)	2
(18212514,)	1
(18205950,)	21
(18207306,)	2
(18210353,)	8
(18196365,)	2
(18221504,)	1
(18198942,)	1
(18211167,)	1
(18206736,)	2
(18196076,)	1
(18209799,)	5
(18215570,)	9
(18213165,)	1
(18218873,)	2
(18205859,)	9
(18207487,)	23
(18204810,)	8
(18209485,)	11
(18218319,)	3
(18224090,)	2
(18205545,)	1
(18204026,)	3
(18211811,)	1
(18207396,)	7
(18200816,)	56
(18216230,)	1
(18218484,)	58
(18196636,)	4
(18212290,)	5
(18207875,)	3
(18205470,)	1
(18207082,)	1
(18214288,)	2
(18210129,)	1
(18213255,)	3
(18222098,)	1
(18209080,)	1
(18218963,)	2
(18195596,)	17
(18204430,)	1
(18218393,)	1
(18223156,)	30
(18203637,)	577
(18196801,)	45
(18207007,)	37
(18216874,)	1
(18213445,)	1
(18219216,)	24
(18223635,)	10
(18212875,)	3
(18195761,)	26
(18209740,)	3
(18223321,)	1
(18211356,)	38
(18208221,)	15
(18207172,)	1
(18210219,)	59
(18209170,)	15
(18198510,)	29
(18216980,)	1
(18206304,)	3
(18208700,)	2
(18214089,)	1
(18219876,)	1
(18210698,)	1
(18213040,)	1
(18221874,)	2
(18212570,)	2
(18196891,)	3
(18205750,)	73
(18220355,)	1
(18210409,)	13
(18218194,)	22
(18203182,)	1
(18200047,)	9
(18220834,)	111
(18206792,)	41
(18209855,)	3
(18213221,)	19
(18198130,)	2
(18205915,)	7
(18224939,)	3
(18204396,)	1
(18207766,)	3
(18208971,)	1
(18218854,)	11
(18205824,)	10
(18205047,)	7
(18200616,)	40
(18216286,)	12
(18213865,)	3
(18196692,)	5
(18212346,)	95
(18205526,)	8
(18220156,)	7
(18209929,)	23
(18209136,)	26
(18204007,)	6
(18197171,)	11
(18204956,)	5
(18219586,)	2
(18210664,)	76
(18209631,)	1
(18218449,)	21
(18197650,)	40
(18203437,)	174
(18207063,)	1
(18210110,)	2
(18215881,)	2
(18224740,)	5
(18222335,)	1
(18198385,)	48
(18212750,)	58
(18206170,)	30
(18213980,)	3
(18200706,)	1
(18222814,)	1
(18224170,)	1
(18204651,)	28
(18197831,)	24
(18199187,)	1
(18206649,)	6
(18207228,)	1
(18211891,)	1
(18210754,)	1
(18215517,)	2
(18204560,)	18
(18205806,)	1
(18204757,)	8
(18207137,)	1
(18224830,)	1
(18203238,)	1
(18197426,)	20
(18212056,)	1
(18205236,)	9
(18207616,)	3
(18214070,)	3
(18209911,)	2
(18212551,)	4
(18205715,)	155
(18204922,)	8
(18219287,)	1
(18197616,)	1
(18211981,)	1
(18209820,)	3
(18212716,)	1
(18199442,)	1
(18205880,)	5
(18211667,)	14
(18207252,)	1
(18219452,)	1
(18215293,)	22
(18199153,)	12
(18206375,)	9
(18207987,)	2
(18205326,)	7
(18206938,)	1
(18219931,)	2
(18196022,)	1
(18218819,)	1
(18206061,)	17
(18200597,)	2
(18215202,)	1
(18203493,)	2
(18196657,)	48
(18206540,)	15
(18207896,)	3
(18205491,)	3
(18211278,)	1
(18220121,)	1
(18219072,)	1
(18196187,)	3
(18213276,)	13
(18222135,)	1
(18224515,)	1
(18197136,)	15
(18219567,)	1
(18200762,)	5
(18223177,)	19
(18206705,)	17
(18214515,)	17
(18220046,)	1
(18201241,)	19
(18207028,)	1
(18216911,)	3
(18197317,)	1
(18208556,)	1
(18206151,)	2
(18205102,)	14
(18213945,)	4
(18196747,)	2
(18206630,)	1
(18205581,)	10
(18207193,)	1
(18215003,)	22
(18209207,)	22
(18221416,)	1
(18198275,)	1
(18199903,)	2
(18197482,)	13
(18207672,)	40
(18216531,)	222
(18195963,)	1
(18203773,)	2
(18200382,)	3
(18199333,)	1
(18205771,)	12
(18211558,)	4
(18214605,)	15
(18207118,)	1
(18219343,)	1
(18221341,)	1
(18206250,)	8
(18212037,)	8
(18205201,)	8
(18220871,)	2
(18208827,)	14
(18203682,)	3
(18197118,)	17
(18205936,)	1
(18204903,)	7
(18210355,)	22
(18196367,)	1
(18209306,)	27
(18224960,)	150
(18204161,)	1
(18205382,)	1
(18214200,)	64
(18213167,)	3
(18203863,)	1
(18217826,)	1
(18223613,)	29
(18197027,)	2
(18198655,)	2
(18208266,)	312
(18207473,)	3
(18204812,)	13
(18213646,)	1
(18217256,)	2
(18207952,)	1
(18205547,)	1
(18201132,)	23
(18213332,)	2
(18224571,)	3
(18221142,)	43
(18198241,)	2
(18204028,)	3
(18206026,)	7
(18207398,)	1
(18204977,)	7
(18200818,)	1
(18213811,)	25
(18209652,)	13
(18215183,)	1
(18196638,)	1
(18212292,)	2
(18205456,)	5
(18211243,)	22
(18220102,)	112
(18207084,)	1
(18203937,)	2
(18212771,)	1
(18205158,)	10
(18212952,)	3
(18200257,)	1
(18205637,)	7
(18201222,)	1
(18206993,)	1
(18219218,)	2
(18217057,)	19
(18197282,)	26
(18207728,)	3
(18213926,)	6
(18200908,)	1
(18222744,)	3
(18204597,)	2
(18203548,)	4
(18199389,)	2
(18207174,)	30
(18206306,)	12
(18214091,)	1
(18199298,)	1
(18205736,)	7
